article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRD_1;3;1;18;-44,5632926829268;1;82;163;82,0;1,9878048780487805;0;3;1
CRD_2;20;11;110;10,217856529209683;12;485;892;40,416666666666664;1,8391752577319587;4;2,5847541394951203e+17;1
CRD_3;44;8;249;-213,147003548616;5;1409;2231;281,8;1,5833924769339958;6;7,832588301500363e+16;343
CRD_4;34;23;122;30,917522206018845;19;397;726;20,894736842105264;1,8287153652392947;0;34;1
CRD_5;2;1;16;-9,310000000000002;1;40;83;40,0;2,075;0;2;1
CRD_6;28;9;65;-68,43603448275859;2;232;432;116,0;1,8620689655172413;1;65,4;1
CRD_7;4;2;13;3,380000000000024;2;80;154;40,0;1,925;0;4;1
CRD_8;16;11;73;34,43575098814233;11;230;411;20,90909090909091;1,7869565217391303;5;2,58475413949512e+17;1
CRD_9;5;3;40;25,109762396694236;4;121;216;30,25;1,7851239669421488;0;5;1
CRD_10;4;2;12;-9,840263157894697;1;38;80;38,0;2,1052631578947367;0;4;1
CRD_11;3;2;10;29,180000000000007;1;25;45;25,0;1,8;0;3;1
CRD_12;10;8;43;45,047159833630445;9;187;311;20,77777777777778;1,6631016042780749;2;7,832588301500363e+16;343
CRD_13;7;5;38;41,317430656934334;5;137;223;27,4;1,6277372262773722;1;7,832588301500363e+16;343
CRD_14;33;19;133;16,669529025191707;11;415;745;37,72727272727273;1,7951807228915662;3;7,832588301500363e+16;343
CRD_15;7;4;29;8,667500000000018;2;80;149;40,0;1,8625;0;7;1
CRD_16;29;15;91;4,125;7;270;522;38,57142857142857;1,9333333333333333;0;29;1
CRD_17;11;7;32;28,948750000000018;2;64;110;32,0;1,71875;13;1,1889869041677553e+18;1
CRD_18;8;2;67;-118,05558659217871;1;179;303;179,0;1,6927374301675977;3;7,832588301500363e+16;343
CRD_19;2;1;17;16,553598901098923;2;91;155;45,5;1,7032967032967032;0;2;1
CRD_20;11;8;72;36,13834563758391;10;149;274;14,9;1,8389261744966443;5;6,289568406104792e+17;1
CRD_21;9;7;40;46,89158602150539;6;155;245;25,833333333333332;1,5806451612903225;19;2,2814763204610268e+18;1
CRD_22;57;40;265;35,024720670391076;29;716;1242;24,689655172413794;1,73463687150838;2;7,832588301500363e+16;343
CRD_23;32;18;168;13,152099737532836;12;508;905;42,333333333333336;1,781496062992126;2;7,832588301500363e+16;343
CRD_24;18;9;83;-2,376811594202877;6;230;463;38,333333333333336;2,0130434782608697;0;18;1
CRD_25;10;6;51;24,01180048661803;3;137;221;45,666666666666664;1,6131386861313868;0;10;1
CRD_26;22;13;91;16,218484848484877;7;297;518;42,42857142857143;1,7441077441077442;10;7,832588301500363e+16;343
CRD_27;4;2;43;12,582916666666705;3;160;265;53,333333333333336;1,65625;4;2,58475413949512e+17;1
CRD_28;2;2;12;72,85019067796611;4;59;83;14,75;1,4067796610169492;2;7,832588301500363e+16;343
CRD_29;13;9;70;33,905993150684964;8;292;469;36,5;1,606164383561644;4;7,832588301500363e+16;343
CRD_30;6;4;13;32,75769230769234;1;39;62;39,0;1,5897435897435896;0;6;1
CRD_31;9;5;72;12,591666666666669;5;270;445;54,0;1,6481481481481481;1;7,832588301500363e+16;343
CRD_32;16;15;154;55,420803212851425;15;415;605;27,666666666666668;1,4578313253012047;3;1,72316942633008e+17;1
CRD_33;11;5;32;-14,801999999999964;1;75;129;75,0;1,72;10;7,832588301500363e+16;343
CRD_34;37;19;126;1,8938043478261193;8;460;797;57,5;1,732608695652174;11;7,832588301500363e+16;343
CRD_35;30;21;137;34,17590894413951;19;489;847;25,736842105263158;1,7321063394683027;2;7,832588301500363e+16;343
CRD_36;18;14;113;44,25079376328844;17;415;676;24,41176470588235;1,6289156626506025;4;7,832588301500363e+16;343
CRD_37;1;1;12;40,784285714285716;1;35;54;35,0;1,542857142857143;2;1,72316942633008e+17;1
CRD_38;1;1;8;46,06863636363636;2;44;72;22,0;1,6363636363636365;0;1;1
CRD_39;12;9;76;43,055135285913536;15;239;417;15,933333333333334;1,7447698744769875;0;12;1
CRD_40;17;10;54;16,38569672131149;4;122;230;30,5;1,8852459016393444;2;7,832588301500363e+16;343
CRD_41;11;7;74;22,179577922077954;8;308;530;38,5;1,7207792207792207;1;41,800000000000004;1
CRD_42;12;6;21;1,9797826086956718;1;46;86;46,0;1,8695652173913044;2;118,45800000000003;1
CRD_43;9;6;95;32,29480392156864;15;340;609;22,666666666666668;1,7911764705882354;1;54,98000000000001;1
CRD_44;7;4;22;16,085405405405425;2;74;134;37,0;1,8108108108108107;2;7,832588301500363e+16;343
CRD_45;6;3;19;6,703636363636377;2;66;130;33,0;1,9696969696969697;0;6;1
CRD_46;3;2;14;28,335000000000036;2;60;105;30,0;1,75;0;3;1
CRD_47;6;4;33;33,79694063926945;6;146;256;24,333333333333332;1,7534246575342465;0;6;1
CRD_48;7;4;73;8,05059523809524;9;336;639;37,333333333333336;1,9017857142857142;0;7;1
CRD_49;10;7;35;38,50986760124613;6;107;190;17,833333333333332;1,7757009345794392;2;1,72316942633008e+17;1
CRD_50;28;18;200;26,09314743202421;25;662;1204;26,48;1,8187311178247734;0;28;1
CRD_51;61;40;288;28,86097663551402;30;963;1655;32,1;1,7185877466251298;14;7,832588301500363e+16;343
CRD_52;15;10;86;32,9187721238938;12;339;582;28,25;1,7168141592920354;3;7,832588301500363e+16;343
CRD_53;17;11;89;27,840443659206926;9;283;492;31,444444444444443;1,7385159010600706;1;7,832588301500363e+16;343
CRD_54;5;2;36;-26,6640625;2;128;255;64,0;1,9921875;2;7,832588301500363e+16;343
CRD_54a;1;1;6;50,470769230769264;2;26;44;13,0;1,6923076923076923;2;1,72316942633008e+17;1
CRD_55;6;3;62;5,9797619047619435;3;140;254;46,666666666666664;1,8142857142857143;3;5,6993828775867405e+17;2
CRD_56;10;4;70;-35,02642857142854;3;210;424;70,0;2,019047619047619;3;2,58475413949512e+17;1
CRD_57;15;9;159;19,992948439846515;13;461;822;35,46153846153846;1,7830802603036877;4;5,6993828775867405e+17;2
CRD_58;26;14;117;7,278056356067907;9;347;658;38,55555555555556;1,8962536023054755;4;7,832588301500363e+16;343
CRD_59;19;10;104;3,707003205128217;8;351;658;43,875;1,8746438746438747;3;7,832588301500363e+16;343
CRD_60;7;3;28;-17,785882352941158;1;85;139;85,0;1,6352941176470588;4;5,4279836929397523e+17;1
CRD_61;13;8;51;25,557127516778536;5;149;266;29,8;1,7852348993288591;3;7,992490591675494e+17;1
CRD_62;1;1;17;31,759336734693903;2;49;87;24,5;1,7755102040816326;0;1;1
CRD_63;24;13;121;9,964322033898327;7;354;609;50,57142857142857;1,7203389830508475;0;24;1
CRD_64;11;6;44;14,235000000000014;4;120;230;30,0;1,9166666666666667;4;7,832588301500363e+16;343
CRD_65;56;27;168;-3,992322580645151;10;558;1017;55,8;1,8225806451612903;1;7,832588301500363e+16;343
CRD_66;29;10;154;-51,747433526011534;5;519;940;103,8;1,811175337186898;4;7,832588301500363e+16;343
CRD_67;73;19;231;-110,22428571428568;5;840;1455;168,0;1,7321428571428572;21;7,832588301500363e+16;343
CRD_68;26;16;114;20,836567796610183;12;354;653;29,5;1,844632768361582;0;26;1
CRD_69;25;16;92;28,003023415977964;12;242;453;20,166666666666668;1,871900826446281;9;7,832588301500363e+16;343
CRD_70;35;8;85;-143,82790575916226;1;191;354;191,0;1,8534031413612566;0;35;1
CRD_71;17;10;83;20,489772727272737;8;220;412;27,5;1,8727272727272728;0;17;1
CRD_72;10;6;25;21,22137681159424;3;92;168;30,666666666666668;1,826086956521739;0;10;1
CRD_73;5;3;27;16,154810996563583;3;97;181;32,333333333333336;1,865979381443299;0;5;1
CRD_74;9;6;47;25,656056034482788;8;145;279;18,125;1,9241379310344828;20;7,832588301500363e+16;343
CRD_75;21;14;85;29,64527472527476;13;273;503;21,0;1,8424908424908424;5;3,44633885266016e+17;1
CRD_76;82;51;251;23,94574257425745;28;808;1467;28,857142857142858;1,8155940594059405;0;82;1
CRD_77;18;11;105;22,673844383057116;12;362;657;30,166666666666668;1,8149171270718232;0;18;1
CRD_78;52;33;227;24,77540149393093;27;714;1310;26,444444444444443;1,834733893557423;0;52;1
CRD_79;28;11;74;-32,903965517241346;3;174;372;58,0;2,1379310344827585;0;28;1
CRD_80;6;3;11;4,652972972972975;1;37;72;37,0;1,945945945945946;0;6;1
CRD_81;9;3;27;-50,40831168831167;1;77;163;77,0;2,116883116883117;0;9;1
CRD_82;16;8;38;-1,395730198019777;4;101;218;25,25;2,1584158415841586;0;16;1
CRD_83;17;12;74;34,80848659003834;9;232;400;25,77777777777778;1,7241379310344827;1;26,9;1
CRD_84;6;3;13;-9,065945945945913;1;37;78;37,0;2,108108108108108;0;6;1
CRD_85;14;8;29;11,612506024096405;5;83;175;16,6;2,108433734939759;0;14;1
CRD_86;104;58;298;11,985761909769735;37;771;1583;20,83783783783784;2,053177691309987;0;104;1
